task1	task2	thisN	thisTrialN	thisRepN	T0	T2	T1	lagT0	lagT1	lagT2	responseT1	responseT2	related	dist	key_resp_T1.keys	key_resp_T1.corr	key_resp_T2.keys	key_resp_T2.corr	key_resp_T2.rt	key_resp_T2.duration	press_to_continue.keys	press_to_continue.rt	press_to_continue.duration	key_resp_T1.rt	key_resp_T1.duration	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	trial.thisRepN	trial.thisTrialN	trial.thisN	trial.thisIndex	trials_T0_context.thisRepN	trials_T0_context.thisTrialN	trials_T0_context.thisN	trials_T0_context.thisIndex	trials_T1.thisRepN	trials_T1.thisTrialN	trials_T1.thisN	trials_T1.thisIndex	trials_T2.thisRepN	trials_T2.thisTrialN	trials_T2.thisN	trials_T2.thisIndex	thisRow.t	notes	instructions.started	text_instructions.started	key_resp.started	instructions.stopped	key_resp.keys	key_resp.rt	key_resp.duration	settings.started	settings.stopped	T0_context.started	context_word.started	blankContext.started	context_word.stopped	blankContext.stopped	T0_context.stopped	distractors_T0_T2.started	distractors_T0_T2.stopped	text_distractors_2.started	T1_number.started	text_T1.started	T1_number.stopped	distractors_T1.started	distractors_T1.stopped	T2_probe.started	text_T2.started	T2_probe.stopped	Ask_T1.started	Ask_T1.stopped	trial.key_resp_T1.keys	trial.key_resp_T1.corr	Ask_T2.started	blankT2_1.started	blankT2_1.stopped	text_T2ask.started	key_resp_T2.started	Ask_T2.stopped	trial.key_resp_T2.keys	trial.key_resp_T2.corr	trial.key_resp_T2.rt	trial.key_resp_T2.duration	text_distractors.started	text_distractors_2.stopped	text_T2.stopped	rest.started	text.started	press_to_continue.started	text.stopped	rest.stopped	block.press_to_continue.keys	block.press_to_continue.rt	block.press_to_continue.duration	text_T1.stopped	text_distractors.stopped	blankT1_1.started	text_T1ask.started	key_resp_T1.started	blankT1_1.stopped	trial.key_resp_T1.rt	trial.key_resp_T1.duration	participant	order [1: single-dual or 2: dual-single]	date	expName	psychopyVersion	frameRate	expStart	Column1
single	dual	10	10	0	GANSO	XPATOXX	0	7	1	12	i	i	1	HLFPYXK												0	0	0	0	0	0	0	0									0	10	10	4	7,03933E+15																	7,02616E+15	7,1066E+15	7,03933E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	11	11	0	GANSO	XPATOXX	0	7	1	12	i	i	1	VYKXSPC												0	0	0	0	0	0	0	0									0	11	11	2	7,12333E+15																	7,1093E+16	7,1901E+14	7,12333E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	GANSO	XPATOXX	0	7	1	12	i	i	1		None	0	f	0	1,20939E+16	None						0	0	0	0	0	0	0	0																																									7,20029E+15	7,20036E+14	None	0	7,20042E+15	7,20668E+16	8,20614E+15	8,20614E+15	8,20614E+15	9,425E+14	f	0	1,20939E+16	None																				Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	ZTFYDXH												0	0	0	0	0	1	1	1	0	5	5	5	0	0	0	0					1,21622E+16											9,42889E+14	9,43993E+14	1,04425E+16	1,04425E+16		1,14263E+16	1,18467E+16	1,1926E+16	1,18588E+16	1,19414E+15	1,19445E+16	1,20083E+14	1,21527E+16	1,21527E+16																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	YGLMSFQ												0	0	0	0	0	1	1	1					0	1	1	1					1,21622E+16																							1,21581E+16	1,2175E+16																		1,21622E+16																			Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	WMYFTGJ												0	0	0	0	0	1	1	1									0	0	0	6	1,24497E+16																	1,24371E+16	1,24372E+15							1,21986E+16	1,22023E+16	1,22601E+16																																		Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	VFDMHQS												0	0	0	0	0	1	1	1									0	1	1	8	1,24497E+16																	1,2442E+16	1,24421E+16																																											Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	2	2	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	HQTYPJM												0	0	0	0	0	1	1	1									0	2	2	9	1,24497E+16																	1,24459E+15	1,25094E+14	1,24497E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	3	3	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	HLFPYXK												0	0	0	0	0	1	1	1									0	3	3	4	1,25256E+16																	1,25138E+15	1,25933E+16	1,25256E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	4	4	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	ZJTSHFP												0	0	0	0	0	1	1	1									0	4	4	3	1,26094E+16																	1,25988E+16	1,26758E+16	1,26094E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
